Speed (rpm),Power (mW)
2552.5,911.6
2552.5,913.02
2552.7,914.41
2552.9,915.72
2553.1,916.94
2553.4,918.02
2553.8,918.94
2554.1,919.69
2554.5,920.25
2555,920.62
2555.4,920.79
2555.8,920.62
2556.2,920.28
2556.6,919.81
2557,919.24
2557.3,918.61
2557.6,917.95
2557.8,917.3
2558.1,916.7
2558.3,916.17
2558.5,915.74
2558.7,915.66
2558.9,915.69
2559.1,915.8
2559.3,915.98
2559.5,916.19
2559.7,916.4
2559.9,916.58
2560.2,916.71
2560.4,916.76
2560.7,916.69
2560.9,916.24
2561.1,915.68
2561.2,915.01
2561.4,914.28
2561.4,913.5
2561.5,912.7
2561.5,911.91
2561.5,911.16
2561.4,910.48
2561.4,909.89
2561.3,909.67
2561.2,909.55
2561.1,909.51
2561,909.55
2560.9,909.63
2560.8,909.73
2560.7,909.84
2560.6,909.94
2560.6,910.01
2560.5,910.03
2560.4,909.72
2560.3,909.38
2560.2,909.03
2560,908.69
2559.9,908.39
2559.7,908.17
2559.6,908.05
2559.4,908.04
2559.2,908.18
2559.1,908.46
2558.9,909.19
2558.7,910.04
2558.5,910.98
2558.3,911.98
2558,912.98
2557.8,913.96
2557.6,914.86
2557.4,915.63
2557.1,916.26
2557,916.7
2556.8,916.68
2556.6,916.46
2556.4,916.05
2556.2,915.49
2556.1,914.8
2555.9,914
2555.7,913.15
2555.5,912.28
2555.3,911.42
2555,910.61
2554.8,910.03
2554.5,909.54
2554.2,909.16
2553.8,908.88
2553.5,908.71
2553.1,908.63
2552.7,908.63
2552.4,908.7
2552,908.82
2551.6,908.97
2551.3,909.14
2551,909.29
2550.7,909.39
2550.5,909.43
2550.3,909.38
2550.2,909.22
2550,908.96
2549.9,908.57
2549.8,908.06
2549.7,907.43
2549.5,906.52
2549.3,905.53
2549.1,904.51
2548.8,903.48
2548.5,902.49
2548.1,901.58
2547.7,900.79
2547.2,900.15
2546.8,899.68
2546.3,899.4
2545.8,899.61
2545.3,900
2545,900.55
2544.6,901.23
2544.3,901.99
2544.1,902.8
2543.8,903.62
2543.7,904.4
2543.5,905.1
2543.4,905.69
2543.3,905.87
2543.1,905.92
2542.8,905.84
2542.5,905.66
2542.2,905.39
2541.8,905.06
2541.3,904.7
2540.8,904.33
2540.2,903.99
2539.6,903.69
2539,903.68
2538.4,903.73
2537.8,903.84
2537.3,904.01
2536.8,904.21
2536.3,904.44
2535.9,904.67
2535.6,904.89
2535.3,905.08
2535,905.21
2534.8,905.16
2534.6,905.04
2534.4,904.85
2534.2,904.6
2534,904.29
2533.8,903.93
2533.5,903.52
2533.3,903.09
2533,902.63
2532.7,902.16
2532.3,901.73
2531.9,901.3
2531.6,900.89
2531.1,900.51
2530.7,900.14
2530.3,899.8
2529.8,899.49
2529.4,899.21
2529,898.95
2528.6,898.71
2528.2,898.52
2527.8,898.34
2527.6,898.15
2527.3,897.96
2527.1,897.73
2526.9,897.48
2526.7,897.19
2526.6,896.85
2526.4,896.46
2526.2,896.02
2526.1,895.47
2525.8,894.88
2525.5,894.26
2525.2,893.63
2524.8,893
2524.3,892.4
2523.7,891.83
2523.1,891.31
2522.4,890.86
2521.7,890.49
2521,890.26
2520.3,890.13
2519.5,890.1
2518.8,890.17
2518.1,890.33
2517.4,890.58
2516.8,890.91
2516.2,891.3
2515.6,891.76
2515.1,892.25
2514.6,892.78
2514.1,893.32
2513.6,893.86
2513.2,894.37
2512.7,894.86
2512.3,895.3
2511.9,895.68
2511.5,896
2511.1,896.24
2510.6,896.41
2510.2,896.43
2509.8,896.37
2509.4,896.26
2509,896.1
2508.6,895.9
2508.3,895.68
2507.9,895.45
2507.5,895.21
2507.2,894.99
2506.8,894.77
2506.5,894.7
2506.2,894.63
2505.9,894.55
2505.6,894.45
2505.3,894.32
2505.1,894.14
2504.8,893.89
2504.5,893.56
2504.3,893.15
2504,892.64
2503.7,891.92
2503.3,891.11
2503,890.22
2502.6,889.27
2502.1,888.29
2501.6,887.29
2501.1,886.3
2500.6,885.34
2500,884.44
2499.5,883.62
2498.9,882.95
2498.3,882.39
2497.7,881.97
2497.2,881.67
2496.6,881.51
2496.1,881.5
2495.6,881.62
2495.2,881.87
2494.8,882.24
2494.4,882.72
2494.1,883.32
2493.8,884
2493.6,884.72
2493.3,885.47
2493.2,886.21
2493,886.94
2492.8,887.62
2492.7,888.25
2492.6,888.8
2492.4,889.25
2492.3,889.51
2492.1,889.68
2491.9,889.76
2491.7,889.77
2491.4,889.72
2491.2,889.63
2490.9,889.5
2490.6,889.37
2490.3,889.23
2489.9,889.1
2489.6,889.1
2489.2,889.13
2488.9,889.16
2488.6,889.19
2488.3,889.22
2488,889.22
2487.7,889.19
2487.4,889.11
2487.1,888.97
2486.8,888.76
2486.5,888.41
2486.2,887.97
2485.9,887.46
2485.5,886.88
2485.2,886.24
2484.8,885.55
2484.3,884.82
2483.9,884.06
2483.4,883.3
2483,882.55
2482.5,881.83
2482,881.15
2481.6,880.52
2481.1,879.95
2480.7,879.47
2480.3,879.07
