time (s),acceleration (m/s^2)
0,0.9230229
0.002,0.27696573
0.004,0.22128417
0.006,1.1861271
0.008,1.390077
0.01,1.139922
0.012,0.63324531
0.014,1.626498
0.016,0.87012738
0.018,1.6575957
0.02,0.29690946
0.022,0.56412405
0.024,1.3848777
0.026,1.6614216
0.028,1.3776183
0.03,0.48320136
0.032,0.31694148
0.034,1.4648292
0.036,1.3126761
0.038,0.55072359
0.04,0.55885608
0.042,0.64259424
0.044,1.4544306
0.046,1.4914143
0.048,1.0016991
0.05,0.93494205
0.052,0.5068827
0.054,1.2019212
0.056,1.3116951
0.058,0.78085638
0.06,0.88651989
0.062,0.8594541
0.064,0.51509367
0.066,1.1826936
0.068,1.4774841
0.07,1.3971402
0.072,1.1725893
0.074,0.38670039
0.076,1.0392714
0.078,0.18611532
0.08,0.25096923
0.082,0.29250477
0.084,0.18922509
0.086,0.95654367
0.088,0.021845889
0.09,1.1482605
0.092,1.0445688
0.094,1.3764411
0.096,0.59944986
0.098,0.93339207
0.1,1.3964535
0.102,0.74314674
0.104,0.29463354
0.106,1.4681646
0.108,-0.13664349
0.11,0.23910894
0.112,1.3456377
0.114,0.36139059
0.116,0.20135025
0.118,-0.067177899
0.12,1.3305303
0.122,-0.033553143
0.124,0.24871293
0.126,1.2123198
0.128,0.47357775
0.13,0.56454588
0.132,0.57083409
0.134,0.75905856
0.136,-0.40329891
0.138,0.4510638
0.14,-0.27129555
0.142,0.95997717
0.144,0.12423384
0.146,0.97234758
0.148,-0.097986204
0.15,0.34251615
0.152,0.96411699
0.154,-0.48103335
0.156,-0.53958924
0.158,-0.54508284
0.16,0.6139098
0.162,0.41958351
0.164,-0.41197095
0.166,0.73288548
0.168,0.37253475
0.17,-0.64057338
0.172,-0.58324374
0.174,-0.48394692
0.176,0.52465842
0.178,-0.565056
0.18,-0.24873255
0.182,-0.34719552
0.184,-0.6134193
0.186,0.60879879
0.188,0.25866027
0.19,0.1892349
0.192,0.043377858
0.194,-0.20556855
0.196,-0.60431562
0.198,-0.04614624
0.2,-0.88688286
0.202,-0.95514084
0.204,-1.2135951
0.206,0.33074415
0.208,0.24259149
0.21,-1.2592116
0.212,-0.66804138
0.214,-0.35856531
0.216,-1.0068984
0.218,-0.22802364
0.22,-0.4510638
0.222,-0.73281681
0.224,-1.0150407
0.226,-0.19989837
0.228,-0.061514586
0.23,-0.48650733
0.232,-0.96329295
0.234,-0.08450334
0.236,-1.2598983
0.238,-0.75673359
0.24,0.050284098
0.242,-1.1122578
0.244,-1.1705292
0.246,-0.023425299
0.248,-1.4770917
0.25,-1.217421
0.252,-0.64160343
0.254,-1.2666672
0.256,-0.57897639
0.258,-0.25445178
0.26,-0.62178723
0.262,-0.41722911
0.264,-0.19954521
0.266,-1.080081
0.268,-0.5185566
0.27,-1.4544306
0.272,-0.76556259
0.274,-0.2291616
0.276,-0.17201835
0.278,-0.83347722
0.28,-1.0960713
0.282,-0.57140307
0.284,-0.21696777
0.286,-0.85373487
0.288,-0.16318935
0.29,-1.5609672
0.292,-1.7017407
0.294,-1.3875264
0.296,-1.3040433
0.298,-1.2347847
0.3,-1.3252329
0.302,-0.79813179
0.304,-1.8314289
0.306,-1.3046319
0.308,-1.557828
0.31,-1.6963452
0.312,-1.9954521
0.314,-1.2167343
0.316,-1.8038628
0.318,-2.0123253
0.32,-2.1963609
0.322,-1.8220113
0.324,-1.424412
0.326,-0.8814285
0.328,-4.2473376
0.33,-0.9928701
0.332,-2.2285377
0.334,-1.0599705
0.336,-1.1437479
0.338,-0.9125262
0.34,-4.0330872
0.342,-1.4997528
0.344,-1.6923231
0.346,-2.0215467
0.348,-1.3845834
0.35,-1.4514876
0.352,-2.0234106
0.354,-1.4944554
0.356,-0.77632416
0.358,-1.5534135
0.36,-1.1005839
0.362,-1.6228683
0.364,-2.277882
0.366,-1.8167139
0.368,-1.0244583
0.37,-1.9154025
0.372,-2.3064291
0.374,-1.5678342
0.376,-1.8527166
0.378,-1.2139875
0.38,-1.4473674
0.382,-1.0291671
0.384,-2.9807685
0.386,-2.0053602
0.388,-2.0638278
0.39,-1.0120977
0.392,-1.2525408
0.394,-2.2102911
0.396,-0.77179194
0.398,-1.344951
0.4,-1.1600325
0.402,-1.0882233
0.404,-0.84622041
0.406,-0.61255602
0.408,-1.3458339
0.41,-1.9413009
0.412,-0.80135928
0.414,-1.3701627
0.416,-0.53996202
0.418,-1.2463605
0.42,-0.33318684
0.422,-1.3888998
0.424,-1.4657121
0.426,-0.18004293
0.428,-1.5171165
0.43,-0.54491607
0.432,-0.39931605
0.434,-0.82539378
0.436,-0.89951814
0.438,0.12042756
0.44,-0.65237481
0.442,-0.61445916
0.444,-1.0582047
0.446,-0.69318441
0.448,-0.69313536
0.45,0.16758423
