,,,,50,100,200,300,400,500,600,,,,
v,,,50,0.00099,0.00102,0.00112,0.00129,0.00173,0.0039,0.00611,,350,0.00174,0.008813
u,,,,202.4,405.9,819.7,1259,1788,2525,2942,,,1642,2418
h,,,,251.9,456.9,875.5,1323,1879,2722,3248,,16.51,1671,2564
s,,,,0.6807,1.27,2.263,3.12,4.009,5.176,5.818,,,3.778,5.211
v,,,30,0.001,0.00103,0.00113,0.00133,0.0028,0.0087,0.01145,,300,0.001404,0.2167
u,,,,205,410.8,831.3,1288,2067,2821,3101,,,1332,2563
h,,,,235,441.6,865.2,1328,2157,3084,3444,,8.581,1344,2749
s,,,,0.6898,1.284,2.289,3.174,4.482,5.795,6.233,,,3.253,5.704
v,0.0032,0.0032,22.1,0.001,0.00103,0.00114,0.00135,0.0082,0.013,0.01626,,250,0.001251,0.05013
u,2014,2014,,206.1,412.8,836.3,1302,2552,2919,3159,,,1080,2602
h,2084,2084,374.15,228.2,435.6,861.5,1332,2733,3208,3518,,3.973,1085,2802
s,4.406,4.406,,0.6934,1.29,2.3,3.2,5.398,6.064,6.441,,,2.793,6.073
v,0.0021,0.0059,20,0.001,0.00103,0.00114,0.00136,0.01,0.015,0.01818,,200,0.001156,0.1274
u,1786,2294,,206.4,413.4,837.7,1306,2619,2643,3174,,,850.6,2595
h,1827,2411,365.7,226.4,434,860.5,1333,2819,3239,3538,,1.554,852.4,2793
s,4.014,4.928,,0.6944,1.292,2.303,3.207,5.556,6.142,6.505,,,2.331,6.432
v,0.0017,0.0104,15,0.00101,0.00104,0.00114,0.00138,0.0157,0.0208,0.02491,,175,0.001121,0.2168
u,1585,2456,,207.1,414.7,841,1317,2741,2997,3209,,,740.2,2580
h,1610,2611,342.1,222.2,430.3,858.2,1337,2977,3309,3582,,0.892,741.2,2774
s,3.685,5.312,,0.6967,1.295,2.31,3.226,5.883,6.345,6.678,,,2.091,6.626
v,0.0015,0.018,10,0.00101,0.00104,0.00115,0.0014,0.0264,0.0328,0.03837,,150,0.00109,0.3928
u,1393,2545,,207.8,416.1,844.5,1328,2832,3046,3242,,,631.7,2560
h,1408,2725,311,217.9,426.5,856,1342,3097,3373,3625,,0.4759,632.2,2746
s,3.36,5.615,,0.699,1.299,2.318,3.247,6.213,6.596,6.903,,,1.842,6.838
v,0.0013,0.0394,5,0.00101,0.0014,0.00115,0.0453,0.058,0.069,0.0789,,125,0.001065,0.7706
u,1149,2597,,208.5,417.5,848.1,2700,2907,3090,3273,,,524.7,2535
h,1155,2794,263.9,213.6,422.7,853.8,2927,3196,3433,3666,,0.2321,525,2713
s,2.921,5.973,,0.7014,1.303,2.325,6.212,6.646,6.975,7.258,,,1.581,7.07
v,0.0012,0.0667,3,0.00101,0.00104,0.00116,0.081,0.099,0.116,0.1324,,100,0.001044,1.673
u,1004,2603,,208.8,418.1,849.6,2751,2933,3108,3285,,,418.9,2506
h,1008,2803,233.8,211.9,421.2,853,2995,3231,3456,3682,,0.1013,419,2676
s,2.645,6.186,,0.7023,1.305,2.329,6.541,6.921,7.322,7.507,,,1.307,7.355
v,0.0011,0.1944,1,0.00101,0.00104,0.2061,0.258,0.307,0.354,0.401,,80,0.001029,3.407
u,762,2584,,209.1,418.7,2623,2794,2957,3124,3297,,,334.8,2482
h,763,2778,179.9,210.2,419.7,2829,3052,3264,3478,3698,,0.04739,334.9,2644
s,2.138,6.586,,0.7032,1.306,6.695,7.124,7.464,7.761,8.028,,,1.075,7.612
v,0.0011,0.3748,0.5,0.00101,0.00104,0.4252,0.5226,0.617,0.7108,0.804,,70,0.001023,5.042
u,693,2562,,209.2,418.8,2644,2804,2963,3129,3300,,,292.9,2470
h,640,2749,151.8,209.7,419.3,2857,3065,3272,3484,3702,,0.03119,293,2627
s,1.86,6.822,,0.7035,1.306,7.06,7.46,7.793,8.087,8.351,,,0.9548,7.755
v,0.0011,0.6057,0.3,0.00101,0.00104,0.7166,0.875,1.031,1.187,1.341,,60,0.001017,7.671
u,561,2544,,209.3,418.9,2651,2807,2966,313,3301,,,251.1,2457
h,561,2725,133.5,209.6,419.2,2866,3070,3275,3486,3703,,0.01994,251.1,2610
s,1.672,6.993,,0.7036,1.307,7.312,7.702,8.032,8.324,8.589,,,0.8311,7.909
v,0.0011,1.673,0.110133,0.00101,1.673,2.145,2.604,3.062,3.519,3.975,,50,0.001012,12.03
u,421,2508,,209.3,2507,2659,2811,2968,3131,3302,,,209.3,2443
h,419.1,2675.8,100,209.4,2676,2876,3075,3278,3488,3705,,0.01235,209.3,2592
s,1.307,7.355,,0.7037,7.355,7.828,8.209,8.537,8.828,9.091,,,0.7037,8.076
v,0.001,1.694,0.1,0.00101,1.696,2.173,2.639,3.103,3.565,4.028,,40,0.001008,19.52
u,417,2506,,209.3,2506,2659,2811,2968,3131,3302,,,167.5,2430
h,417,2675,99.6,209.4,2676,2876,3075,3278,3488,3705,,0.007384,167.5,2574
s,1.303,7.359,,0.00101,7.36,7.834,8.215,8.543,8.834,9.091,,,0.5724,8.257
v,0.001,3.239,0.05,0.00101,3.42,4.356,5.284,6.209,7.134,8.057,,30,0.001004,32.89
u,340,2483,,209.3,2512,2660,2812,2969,3132,3302,,,125.8,2417
h,340,2645,81.3,209.3,2683,2878,3076,3279,3489,3705,,0.004246,125.8,2556
s,1.091,7.593,,0.7037,7.694,8.156,8.537,8.864,9.154,9.418,,,0.4369,8.453
v,0.001,14.67,0.01,14.87,17.2,21.83,26.45,31.06,35.68,40.29,,20,0.001002,57.79
u,192,2437,,2443,2516,2662,2812,2969,3132,3302,,,83.94,2403
h,192,2584,45.8,2592,2688,2880,3077,3280,3489,3705,,0.002339,83.94,2538
