Speed (rpm),Power (mW)
2831.7,943.9
2831.7,943.87
2831.7,943.85
2831.7,943.88
2831.7,943.96
2831.7,944.11
2831.7,944.35
2831.8,944.68
2831.9,945.09
2832,945.59
2832.1,946.17
2832.3,946.94
2832.5,947.74
2832.8,948.53
2833.1,949.28
2833.5,949.95
2833.9,950.49
2834.3,950.87
2834.7,951.05
2835.1,951.01
2835.5,950.72
2835.9,949.87
2836.2,948.76
2836.4,947.42
2836.5,945.88
2836.5,944.15
2836.4,942.28
2836.2,940.31
2835.9,938.28
2835.4,936.22
2834.8,934.17
2834.2,932.38
2833.4,930.65
2832.5,928.99
2831.5,927.41
2830.4,925.89
2829.2,924.46
2828,923.1
2826.7,921.82
2825.3,920.61
2823.8,919.48
2822.3,918.34
2820.7,917.3
2819,916.38
2817.3,915.61
2815.6,915.02
2813.8,914.62
2812.1,914.44
2810.3,914.48
2808.5,914.77
2806.8,915.31
2805.2,916.28
2803.6,917.47
2802.1,918.86
2800.7,920.42
2799.4,922.1
2798.1,923.86
2797,925.67
2795.9,927.49
2795,929.28
2794,931.01
2793.2,932.44
2792.3,933.76
2791.5,934.98
2790.7,936.09
2790,937.1
2789.2,938.01
2788.5,938.84
2787.8,939.6
2787.2,940.3
2786.6,940.94
2786.1,941.71
2785.7,942.44
2785.4,943.1
2785.3,943.7
2785.3,944.22
2785.5,944.64
2785.7,944.97
2786.2,945.2
2786.7,945.31
2787.4,945.31
2788.1,944.95
2789,944.49
2789.9,943.97
2790.8,943.42
2791.8,942.85
2792.9,942.3
2794,941.79
2795.2,941.35
2796.4,940.98
2797.7,940.72
2799,940.76
2800.5,940.88
2801.9,941.09
2803.5,941.34
2805.1,941.63
2806.7,941.91
2808.4,942.17
2810.1,942.39
2811.7,942.53
2813.4,942.58
2814.9,942.51
2816.4,942.34
2817.8,942.09
2819.1,941.77
2820.3,941.4
2821.3,941
2822.2,940.59
2822.9,940.21
2823.6,939.86
2824.1,939.57
2824.5,939.55
2824.9,939.61
2825.1,939.73
2825.4,939.91
2825.6,940.14
2825.7,940.41
2825.8,940.69
2825.9,940.98
2826,941.26
2826,941.52
2826,941.32
2825.9,941.1
2825.8,940.89
2825.6,940.7
2825.4,940.55
2825.1,940.46
2824.8,940.45
2824.6,940.53
2824.3,940.71
2824,941.01
2823.8,941.61
2823.7,942.31
2823.6,943.08
2823.7,943.91
2823.8,944.76
2824,945.61
2824.3,946.44
2824.6,947.22
2825,947.93
2825.5,948.55
2826,949.23
2826.5,949.81
2827.1,950.3
2827.7,950.7
2828.2,951.04
2828.8,951.33
2829.3,951.59
2829.9,951.83
2830.5,952.07
2831.1,952.33
2831.7,952.74
2832.3,953.17
2833,953.63
2833.8,954.1
2834.6,954.59
2835.4,955.06
2836.3,955.5
2837.2,955.89
2838.2,956.22
2839.2,956.46
2840.2,956.23
2841.2,955.87
2842.1,955.38
2843,954.75
2843.9,953.97
2844.6,953.03
2845.3,951.95
2845.9,950.72
2846.4,949.36
2846.7,947.88
2847,946.2
2847.2,944.46
2847.4,942.69
2847.4,940.92
2847.3,939.18
2847.1,937.53
2846.8,935.99
2846.5,934.61
2846,933.4
2845.5,932.4
2845,932
2844.3,931.83
2843.7,931.87
2842.9,932.13
2842.2,932.58
2841.5,933.21
2840.7,933.99
2840,934.9
2839.3,935.92
2838.6,937.02
2837.9,938.04
2837.3,939.12
2836.7,940.25
2836.1,941.44
2835.6,942.67
2835.2,943.95
2834.8,945.28
2834.5,946.66
2834.2,948.07
2834.1,949.51
2834,951.19
2833.9,952.86
2834,954.5
2834.1,956.09
2834.3,957.59
2834.5,958.98
2834.8,960.23
2835.1,961.31
2835.5,962.19
2835.9,962.87
2836.3,963.16
2836.7,963.24
2837.2,963.09
2837.7,962.74
2838.2,962.2
2838.7,961.47
2839.2,960.59
2839.7,959.56
2840.3,958.41
2840.8,957.14
2841.4,955.54
2842,953.85
2842.5,952.09
2843.1,950.25
2843.6,948.35
2844.2,946.38
2844.7,944.37
2845.1,942.31
2845.5,940.22
2845.9,938.11
2846.1,935.88
2846.2,933.68
2846.2,931.55
2846,929.53
2845.8,927.64
2845.3,925.93
2844.7,924.44
2844,923.21
2843.2,922.26
2842.3,921.62
2841.3,921.99
2840.3,922.7
2839.4,923.76
2838.4,925.15
2837.4,926.87
2836.5,928.88
2835.7,931.16
2834.9,933.66
2834.2,936.36
2833.6,939.19
2833,942.28
2832.6,945.37
2832.2,948.4
2831.9,951.3
2831.7,953.99
2831.6,956.4
2831.5,958.48
2831.4,960.18
2831.4,961.46
2831.3,962.28
2831.2,961.6
2831.1,960.5
2830.8,959.02
2830.5,957.24
2830.1,955.22
2829.6,953.02
2829,950.74
2828.3,948.43
2827.6,946.16
2826.8,943.99
2826,942.35
2825.2,940.87
2824.5,939.54
2823.7,938.34
2823.1,937.26
2822.5,936.26
2821.9,935.32
2821.5,934.41
2821,933.49
2820.7,932.54
2820.5,931.8
2820.3,931.01
2820.2,930.18
2820.2,929.35
2820.3,928.52
2820.4,927.72
2820.5,927
2820.7,926.37
2820.9,925.88
2821.2,925.56
2821.4,925.58
2821.6,925.8
2821.7,926.25
2821.8,926.9
2821.9,927.77
2821.9,928.85
2821.8,930.11
2821.7,931.54
2821.5,933.12
2821.2,934.82
2820.9,936.3
2820.4,937.83
2819.9,939.41
2819.3,940.99
2818.6,942.54
2817.8,944.03
2817.1,945.44
2816.2,946.74
2815.4,947.9
2814.6,948.89
2813.9,949.71
2813.3,950.34
2812.8,950.75
2812.4,950.96
2812.2,950.94
2812,950.72
2812,950.29
2812.1,949.67
2812.2,948.87
2812.5,947.91
2812.7,946.78
2813,945.56
2813.3,944.26
2813.6,942.92
2813.8,941.58
2814.1,940.26
2814.3,938.99
2814.5,937.79
2814.7,936.68
2814.9,935.67
2815.1,934.99
2815.3,934.38
